timestamp,gpu_idx,util_pct,mem_used_mib
2026/05/20 04:47:37.099, 0, 89, 9790
2026/05/20 04:47:37.103, 1, 0, 3732
2026/05/20 04:47:52.195, 0, 98, 9790
2026/05/20 04:47:52.199, 1, 0, 3732
2026/05/20 04:48:07.264, 0, 59, 9790
2026/05/20 04:48:07.270, 1, 0, 3732
2026/05/20 04:48:22.336, 0, 89, 9790
2026/05/20 04:48:22.342, 1, 0, 3732
2026/05/20 04:48:37.416, 0, 98, 9790
2026/05/20 04:48:37.420, 1, 0, 3732
2026/05/20 04:48:52.508, 0, 11, 9790
2026/05/20 04:48:52.513, 1, 0, 3732
2026/05/20 04:49:07.584, 0, 89, 9790
2026/05/20 04:49:07.587, 1, 0, 3732
2026/05/20 04:49:22.652, 0, 98, 9790
2026/05/20 04:49:22.656, 1, 0, 3732
2026/05/20 04:49:37.725, 0, 89, 9790
2026/05/20 04:49:37.733, 1, 0, 3732
2026/05/20 04:49:52.822, 0, 98, 9790
2026/05/20 04:49:52.827, 1, 0, 3732
2026/05/20 04:50:07.895, 0, 9, 9790
2026/05/20 04:50:07.901, 1, 0, 3732
2026/05/20 04:50:22.973, 0, 89, 9790
2026/05/20 04:50:22.979, 1, 0, 3732
2026/05/20 04:50:38.045, 0, 89, 9790
2026/05/20 04:50:38.052, 1, 0, 3732
2026/05/20 04:50:53.137, 0, 0, 9790
2026/05/20 04:50:53.142, 1, 0, 3732
2026/05/20 04:51:08.208, 0, 98, 9790
2026/05/20 04:51:08.213, 1, 0, 3732
2026/05/20 04:51:23.299, 0, 89, 9790
2026/05/20 04:51:23.305, 1, 0, 3732
2026/05/20 04:51:38.371, 0, 96, 9790
2026/05/20 04:51:38.377, 1, 0, 3732
2026/05/20 04:51:53.443, 0, 37, 9790
2026/05/20 04:51:53.447, 1, 0, 3732
2026/05/20 04:52:08.530, 0, 96, 9790
2026/05/20 04:52:08.536, 1, 0, 3732
2026/05/20 04:52:23.607, 0, 87, 9790
2026/05/20 04:52:23.612, 1, 0, 3732
2026/05/20 04:52:38.684, 0, 43, 9790
2026/05/20 04:52:38.692, 1, 0, 3732
2026/05/20 04:52:53.780, 0, 92, 9790
