model,scope,category,n_total,pct_zero,n_abs_gt_1,pct_abs_gt_1,n_abs_gt_10,pct_abs_gt_10,min,max,maxabs,"pct_(1e-08,1e-07]","pct_(1e-07,1e-06]","pct_(1e-06,1e-05]","pct_(1e-05,1e-04]","pct_(1e-04,1e-03]","pct_(1e-03,1e-02]","pct_(1e-02,1e-01]","pct_(1e-01,1e+00]","pct_(1e+00,1e+01]"
OPT-1.3B,L15,LayerNorm/self_attn/weight,2048,0.0,0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
OPT-1.3B,L16,Attn/K/bias,2048,0.0,0,0.0,0,0.0,-0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.634765625,40.625,58.740234375,0.0
OPT-1.3B,L16,Attn/K/weight,4194304,7.152557373046875e-05,0,0.0,0,0.0,-0.2685546875,0.279541015625,0.279541015625,0.00045299530029296875,0.0036716461181640625,0.03800392150878906,0.38552284240722656,3.8242578506469727,36.13584041595459,59.548020362854004,0.06415843963623047,0.0
OPT-1.3B,L16,Attn/O/bias,2048,0.0,0,0.0,0,0.0,-0.16552734375,0.1458740234375,0.16552734375,0.0,0.0,0.0,0.5859375,5.224609375,51.513671875,42.3828125,0.29296875,0.0
OPT-1.3B,L16,Attn/O/weight,4194304,0.00016689300537109375,0,0.0,0,0.0,-0.25244140625,0.251953125,0.25244140625,0.00030994415283203125,0.0037908554077148438,0.040984153747558594,0.4268169403076172,4.216575622558594,39.449357986450195,55.85479736328125,0.0072002410888671875,0.0
OPT-1.3B,L16,Attn/Q/bias,2048,0.0,0,0.0,0,0.0,-0.224853515625,0.2442626953125,0.2442626953125,0.0,0.0,0.0,0.537109375,4.345703125,45.166015625,48.33984375,1.611328125,0.0
OPT-1.3B,L16,Attn/Q/weight,4194304,7.152557373046875e-05,0,0.0,0,0.0,-0.2054443359375,0.20458984375,0.2054443359375,0.00011920928955078125,0.003910064697265625,0.03669261932373047,0.34902095794677734,3.511953353881836,33.63003730773926,62.4650239944458,0.0031709671020507812,0.0
OPT-1.3B,L16,Attn/V/bias,2048,0.0,0,0.0,0,0.0,-0.029754638671875,0.032012939453125,0.032012939453125,0.0,0.0,0.390625,3.955078125,40.576171875,53.759765625,1.318359375,0.0,0.0
OPT-1.3B,L16,Attn/V/weight,4194304,0.00011920928955078125,0,0.0,0,0.0,-0.11346435546875,0.1181640625,0.1181640625,0.0002384185791015625,0.004124641418457031,0.04341602325439453,0.42405128479003906,4.199695587158203,38.492393493652344,56.835007667541504,0.00095367431640625,0.0
OPT-1.3B,L16,FFN/Intermediate/bias,8192,0.0,0,0.0,0,0.0,-0.1165771484375,0.091796875,0.1165771484375,0.0,0.0,0.06103515625,0.3662109375,2.9541015625,40.6005859375,56.005859375,0.01220703125,0.0
