task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),5,2241593344,0.007812,0.044214,0.000000,0.999667,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),6,2241593344,0.007812,0.050804,0.000000,0.994475,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),7,2241593344,0.007813,0.048355,0.000000,0.998404,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),8,2241593344,0.007813,0.051416,0.000000,0.998696,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),9,2241593344,0.007813,0.051850,0.000000,1.000000,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),10,2241593344,0.007813,0.056998,0.000000,1.000000,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),11,2241593344,0.007813,0.064651,0.000000,0.999991,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),12,2241593344,0.007813,0.063440,0.000000,1.000000,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),13,2241593344,0.007813,0.061574,0.000000,0.999957,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),14,2241593344,0.007813,0.065902,0.000000,0.999904,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),15,2241593344,0.007813,0.068401,0.000000,0.999990,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),16,2241593344,0.007813,0.065105,0.000000,0.999891,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),17,2241593344,0.007813,0.060971,0.000000,0.999997,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),18,2241593344,0.007812,0.050956,0.000000,0.999989,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),19,2241593344,0.007813,0.046296,0.000000,0.999933,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),20,2241593344,0.007812,0.050786,0.000000,0.999988,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),21,2241593344,0.007813,0.043763,0.000000,1.000000,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),22,2241593344,0.007813,0.048523,0.000000,0.999991,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_probs,Softmax(scores),23,2241593344,0.007812,0.050303,0.000000,0.999996,
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,0,1120796672,-0.002728,0.163601,-5.902645,3.194021,5.911773
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,1,1120796672,-0.002020,0.178970,-4.650390,4.392030,4.666283
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,2,1120796672,0.002897,0.127323,-4.248133,4.641713,4.641995
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,3,1120796672,0.000893,0.117742,-3.457800,3.627669,3.627725
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,4,1120796672,0.000188,0.100874,-3.522309,3.379226,3.539065
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,5,1120796672,0.001960,0.092327,-3.873558,4.534945,4.548221
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,6,1120796672,-0.001213,0.090567,-4.292427,3.364253,4.293061
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,7,1120796672,0.002755,0.105682,-3.432908,3.761154,3.765448
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,8,1120796672,-0.002290,0.110803,-3.793377,3.739576,3.796573
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,9,1120796672,-0.000861,0.180044,-3.880005,4.076159,4.076643
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,10,1120796672,-0.001923,0.192966,-4.591660,3.425927,4.596664
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,11,1120796672,0.001515,0.181830,-4.009965,4.462610,4.462701
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,12,1120796672,-0.002246,0.197662,-4.060868,5.165656,5.165692
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,13,1120796672,-0.000168,0.239085,-4.037358,4.034201,4.040124
bl_cola,bert,yoshitomo-matsubara/bert-large-uncased-cola,attn_context,Softmax × V,14,1120796672,-0.001558,0.206975,-4.768300,4.566673,4.774330
