task,arch,model,probe,probe_display,layer,count,mean,std,min,max
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,0,840597504,-0.017595,1.057632,-64.944374,8.883371
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,1,840597504,-0.040790,1.305738,-69.044601,5.917519
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,2,840597504,-0.044389,1.464647,-53.133141,6.129158
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,3,840597504,-0.029495,1.292156,-93.686966,5.232940
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,4,840597504,-0.037580,1.290299,-102.408920,5.391078
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,5,840597504,-0.034790,1.162420,-93.104538,5.446590
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,6,840597504,-0.037925,1.124637,-91.904160,5.816167
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,7,840597504,-0.043960,1.083343,-90.752991,6.689339
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,8,840597504,-0.040514,1.061483,-85.242004,7.557850
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,9,840597504,-0.035255,0.912983,-51.661766,16.201962
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,10,840597504,-0.025674,0.948381,-51.849243,18.259993
cola,bert,textattack/bert-base-uncased-CoLA,post_attn_ln,Post-Attn sub-block,11,840597504,-0.048954,1.191622,-39.613605,16.721376
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),0,3362390016,-2.399660,1.663420,-18.508144,13.434324
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),1,3362390016,-1.867561,1.152440,-21.296394,10.657014
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),2,3362390016,-2.060428,1.184963,-31.109053,57.159664
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),3,3362390016,-1.832550,1.179045,-59.488453,8.291960
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),4,3362390016,-1.826484,1.169312,-61.143818,11.039506
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),5,3362390016,-1.884027,1.039117,-49.360790,11.122581
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),6,3362390016,-1.802295,1.011766,-25.773819,9.364604
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),7,3362390016,-1.623555,0.959883,-20.288460,10.426662
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),8,3362390016,-1.421262,0.924267,-23.471361,26.443779
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),9,3362390016,-1.368305,0.951941,-47.413086,88.107895
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),10,3362390016,-1.461306,0.889076,-32.821209,130.036194
cola,bert,textattack/bert-base-uncased-CoLA,gelu_input,FFN1 (GELU in),11,3362390016,-1.436393,0.908055,-22.335968,10.248126
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,0,3362390016,0.022864,0.412551,-0.169971,13.434324
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,1,3362390016,-0.031137,0.236957,-0.169971,10.657014
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,2,3362390016,-0.038347,0.173238,-0.169971,57.159664
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,3,3362390016,-0.039603,0.168919,-0.169971,8.291960
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,4,3362390016,-0.037225,0.188863,-0.169971,11.039506
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,5,3362390016,-0.053400,0.121163,-0.169971,11.122581
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,6,3362390016,-0.053051,0.127376,-0.169971,9.364604
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,7,3362390016,-0.061659,0.137994,-0.169971,10.426662
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,8,3362390016,-0.065076,0.155705,-0.169971,26.443779
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,9,3362390016,-0.071503,0.163050,-0.169971,88.107895
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,10,3362390016,-0.071959,0.173635,-0.169971,130.036194
cola,bert,textattack/bert-base-uncased-CoLA,gelu_output,GELU output,11,3362390016,-0.071783,0.139535,-0.169971,10.248126
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,0,840597504,-0.068959,2.348193,-66.838600,17.877325
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,1,840597504,-0.011720,0.730367,-43.906418,5.383311
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,2,840597504,-0.005473,0.727693,-237.020157,6.467056
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,3,840597504,0.005335,0.461680,-83.397812,4.659687
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,4,840597504,0.002332,0.423872,-83.973137,4.985702
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,5,840597504,-0.001609,0.328332,-67.257538,3.688014
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,6,840597504,-0.003762,0.296050,-42.728481,4.431191
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,7,840597504,-0.000887,0.311274,-9.493470,4.798630
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,8,840597504,-0.001275,0.359987,-154.517731,42.628128
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,9,840597504,-0.002927,1.191344,-682.892334,468.628113
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,10,840597504,-0.005846,1.736651,-972.291077,32.319775
cola,bert,textattack/bert-base-uncased-CoLA,ffn2_output,FFN2 output,11,840597504,0.001200,0.293572,-15.901818,13.068879
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,0,840597504,-0.017760,0.479896,-10.020653,3.609607
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,1,840597504,-0.016478,0.572171,-11.338222,4.415088
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,2,840597504,-0.018689,0.581944,-14.754604,4.382069
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,3,840597504,-0.028222,0.672469,-13.320905,4.339450
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,4,840597504,-0.025644,0.696849,-14.763869,4.854568
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,5,840597504,-0.027832,0.737627,-15.806900,4.713292
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,6,840597504,-0.027261,0.742953,-16.039850,5.008358
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,7,840597504,-0.031335,0.801380,-20.652020,6.268675
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,8,840597504,-0.032812,0.813147,-24.220968,9.228410
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,9,840597504,-0.034219,0.848490,-26.700516,8.590362
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,10,840597504,-0.039479,0.874759,-28.934685,7.905345
cola,bert,textattack/bert-base-uncased-CoLA,post_ffn_ln,Post-FFN sub-block,11,840597504,-0.010954,0.482842,-9.750071,5.581938
