episode,rolling60_mean,rolling60_min,rolling60_max,rolling300_mean,rolling300_min,rolling300_max,rolling1000_mean,rolling1000_min,rolling1000_max
332,34.59852007,-3.19295230,37.87875913,36.61380561,-3.19295230,37.88058921,,,
333,34.60362773,-3.19295230,37.87875913,36.61482715,-3.19295230,37.88058921,,,
334,34.60440545,-3.19295230,37.87875913,36.61650435,-3.19295230,37.88058921,,,
335,34.60440545,-3.19295230,37.87875913,36.61650435,-3.19295230,37.88058921,,,
336,34.61204009,-3.19295230,37.87875913,36.61803127,-3.19295230,37.88058921,,,
337,35.29145783,-3.19295230,37.87875913,36.61971121,-3.19295230,37.88058921,,,
338,35.28308550,-3.19295230,37.87875913,36.62073020,-3.19295230,37.88058921,,,
339,35.28308550,-3.19295230,37.87875913,36.62073020,-3.19295230,37.88058921,,,
340,35.27544988,-3.19295230,37.87875913,36.62073020,-3.19295230,37.88058921,,,
341,35.29472008,-3.19295230,38.22865990,36.62459273,-3.19295230,38.22865990,,,
342,35.29977929,-3.19295230,38.22865990,36.62560458,-3.19295230,38.22865990,,,
343,35.29979198,-3.19295230,38.22865990,36.62662337,-3.19295230,38.22865990,,,
344,35.30237680,-3.19295230,38.22865990,36.62714034,-3.19295230,38.22865990,,,
345,35.30745055,-3.19295230,38.22865990,36.62866746,-3.19295230,38.22865990,,,
346,35.31841885,-3.19295230,38.22865990,36.63086112,-3.19295230,38.22865990,,,
347,35.33188615,-3.19295230,38.22865990,36.63355458,-3.19295230,38.22865990,,,
348,35.32426420,-3.19295230,38.22865990,36.63355458,-3.19295230,38.22865990,,,
349,35.99783637,-3.19295230,38.22865990,36.63406540,-3.19295230,38.22865990,,,
350,35.99783637,-3.19295230,38.22865990,36.63406540,-3.19295230,38.22865990,,,
351,36.67647019,-3.19295230,38.22865990,36.63559253,-3.19295230,38.22865990,,,
352,36.67391918,-3.19295230,38.22865990,36.63661152,-3.19295230,38.22865990,,,
