sample,timestamp,index,name,memory_used_mib,utilization_gpu_pct,power_draw_w
53,2026/07/13 22:17:39.597, 2, NVIDIA GeForce RTX 5090, 3065, 23, 209.30
53,2026/07/13 22:17:39.601, 3, NVIDIA GeForce RTX 5090, 3065, 40, 214.30
53,2026/07/13 22:17:39.605, 4, NVIDIA GeForce RTX 5090, 3065, 40, 219.30
54,2026/07/13 22:17:40.719, 0, NVIDIA GeForce RTX 5090, 3245, 41, 216.16
54,2026/07/13 22:17:40.727, 1, NVIDIA GeForce RTX 5090, 3065, 36, 204.95
54,2026/07/13 22:17:40.732, 2, NVIDIA GeForce RTX 5090, 3065, 37, 211.40
54,2026/07/13 22:17:40.736, 3, NVIDIA GeForce RTX 5090, 3065, 35, 208.47
54,2026/07/13 22:17:40.741, 4, NVIDIA GeForce RTX 5090, 3065, 0, 224.15
55,2026/07/13 22:17:41.876, 0, NVIDIA GeForce RTX 5090, 3245, 39, 242.99
55,2026/07/13 22:17:41.883, 1, NVIDIA GeForce RTX 5090, 3065, 26, 230.04
55,2026/07/13 22:17:41.887, 2, NVIDIA GeForce RTX 5090, 3065, 0, 221.09
55,2026/07/13 22:17:41.890, 3, NVIDIA GeForce RTX 5090, 3065, 30, 239.25
55,2026/07/13 22:17:41.894, 4, NVIDIA GeForce RTX 5090, 3065, 38, 229.34
56,2026/07/13 22:17:43.029, 0, NVIDIA GeForce RTX 5090, 3245, 40, 245.62
56,2026/07/13 22:17:43.033, 1, NVIDIA GeForce RTX 5090, 3065, 40, 207.72
56,2026/07/13 22:17:43.041, 2, NVIDIA GeForce RTX 5090, 3065, 38, 215.46
56,2026/07/13 22:17:43.049, 3, NVIDIA GeForce RTX 5090, 3065, 41, 240.18
56,2026/07/13 22:17:43.052, 4, NVIDIA GeForce RTX 5090, 3065, 39, 228.36
57,2026/07/13 22:17:44.159, 0, NVIDIA GeForce RTX 5090, 3245, 41, 217.12
